iter	Logloss
0	0.6117216092
1	0.5577407526
2	0.5184310544
3	0.4885162906
4	0.4642194813
5	0.4467486255
6	0.4319453312
7	0.4184497742
8	0.4074077234
9	0.3998390777
10	0.3933563182
11	0.3859336742
12	0.380772984
13	0.3766113155
14	0.3720649216
15	0.3687403236
16	0.3655635495
17	0.3624443887
18	0.3604221848
19	0.3571152296
20	0.3552991156
21	0.3526888326
22	0.3499839909
23	0.3483995799
24	0.3465917968
25	0.3445901571
26	0.3430489519
27	0.3414038621
28	0.3400694962
29	0.3389989662
30	0.337907799
31	0.3351647646
32	0.3336862561
33	0.332890927
34	0.3316298881
35	0.3301922894
36	0.3289809149
37	0.3268197629
38	0.3252176891
39	0.3243048013
40	0.3229324072
41	0.3216021583
42	0.3208560561
43	0.3200866096
44	0.3188059014
45	0.3174644748
46	0.3154936258
47	0.3148275376
48	0.3136516279
49	0.3131773202
50	0.3119182787
51	0.3114821038
52	0.310946488
53	0.310226048
54	0.3096506513
55	0.3075983066
56	0.306693521
57	0.3057741717
58	0.3053265553
59	0.3044449721
60	0.3038254808
61	0.3029865794
62	0.3025028646
63	0.3008584354
64	0.3004517152
65	0.3000065276
66	0.2994347023
67	0.2989463603
68	0.2984194451
69	0.2979485334
70	0.2971077617
71	0.296680555
72	0.2961983533
73	0.2957756483
74	0.2953675835
75	0.2946117924
76	0.2942410727
77	0.2937094319
78	0.2934125577
79	0.2920671238
80	0.2913536006
81	0.2909574549
82	0.2903772559
83	0.2900368924
84	0.2895220254
85	0.2892214436
86	0.2887303494
87	0.2884954433
88	0.2879813246
89	0.2875133264
90	0.2868689209
91	0.2858192519
92	0.2850945663
93	0.2844385549
94	0.2841587842
95	0.2837611781
96	0.2827927948
97	0.2823243651
98	0.2821558409
99	0.2817700073
100	0.2814104566
101	0.2810677871
102	0.2806790291
103	0.2804732686
104	0.2799673775
105	0.2790790159
106	0.2786417993
107	0.2780963697
108	0.2777489181
109	0.2770418544
110	0.2756597118
111	0.2739303461
112	0.2736944194
113	0.2720649913
114	0.2707885519
115	0.2698888302
116	0.2695161585
117	0.2690313019
118	0.2684614941
119	0.266362471
120	0.264807719
121	0.263822875
122	0.2627524109
123	0.2614420953
124	0.2601356307
125	0.2590464937
126	0.2586442185
127	0.2575192662
128	0.256674399
129	0.2562411063
130	0.2553319104
131	0.2550180257
132	0.253869726
133	0.2536208231
134	0.2530149928
135	0.2517827714
136	0.2515369536
137	0.2506657731
138	0.2500902849
139	0.2498391371
140	0.2496240387
141	0.2490273912
142	0.2487444781
143	0.247890334
144	0.2468739171
145	0.2455758128
146	0.2452128963
147	0.2442170435
148	0.2440453583
149	0.2435972337
150	0.24298345
151	0.2428364167
152	0.2426547412
153	0.242348008
154	0.242034858
155	0.241771067
156	0.2409243348
157	0.2406224725
158	0.2396081325
159	0.2393226625
160	0.2391373496
161	0.2388378445
162	0.2384199446
163	0.2382714947
164	0.2379979545
165	0.2376944962
166	0.2374707739
167	0.2369897659
168	0.2366846736
169	0.2360970259
170	0.2358782605
171	0.2356485207
172	0.2352619124
173	0.2347440046
174	0.2345226934
175	0.2343395928
176	0.2341948498
177	0.2339555109
178	0.2335640361
179	0.2324968826
180	0.2322920155
181	0.2319808806
182	0.2317245351
183	0.2315362726
184	0.2313803231
185	0.2310752314
186	0.2309217287
187	0.230601807
188	0.2304863591
189	0.230383932
190	0.2301808425
191	0.2299600189
192	0.2297266076
193	0.2294228345
194	0.2292134961
195	0.2288939011
196	0.2281387148
197	0.2278798913
198	0.2275966176
199	0.2269067566
200	0.22636715
201	0.2259942302
202	0.2253217624
203	0.2251991396
204	0.2250504445
205	0.2249218913
206	0.2248354348
207	0.2246045645
208	0.224446523
209	0.2241120797
210	0.2232088931
211	0.2227144341
212	0.2223439989
213	0.2221507106
214	0.2211385605
215	0.220897322
216	0.2205908362
217	0.220484586
218	0.2202672242
219	0.21997588
220	0.2198677924
221	0.219563618
222	0.2194703118
223	0.2193024621
224	0.2192144948
225	0.2189728397
226	0.2188090577
227	0.2186583223
228	0.2185357833
229	0.2177573151
230	0.2175165785
231	0.2173744577
232	0.2170654014
233	0.2169074519
234	0.2165578809
235	0.216347653
236	0.2158622003
237	0.2157604344
238	0.2152669037
239	0.2151088297
240	0.2148954625
241	0.2147628853
242	0.2146160994
243	0.2144461965
244	0.2142609913
245	0.2140818136
246	0.213771916
247	0.2135853225
248	0.2135298106
249	0.2134201112
250	0.213219079
251	0.2131356155
252	0.2129722973
253	0.2127678415
254	0.2125000929
255	0.2118801548
256	0.2116368637
257	0.2115110951
258	0.2112090793
259	0.2110256438
260	0.2109032157
261	0.2106755221
262	0.210591738
263	0.2105017637
264	0.2103145056
265	0.2100739315
266	0.2099755031
267	0.2098314103
268	0.2096720747
269	0.2095748506
270	0.2094515045
271	0.2090729479
272	0.2089820493
273	0.2087833887
274	0.2087102069
275	0.2086053861
276	0.2085026547
277	0.2083539885
278	0.2082509537
279	0.2080617205
280	0.2079982271
281	0.2078982192
282	0.2075677759
283	0.2074465054
284	0.2073752405
285	0.2071921695
286	0.207109583
287	0.2069637167
288	0.2068161604
289	0.206723253
290	0.2066400653
291	0.2062362451
292	0.2060897822
293	0.2060103704
294	0.2059052168
295	0.2056597121
296	0.2056190172
297	0.2053952338
298	0.2053164372
299	0.2051677074
